A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.50,0.00,0.00,0.00,5.05,5.18,3.19,4.50,2.50,3.38,10,19,0,7.7
0.00,0.00,0.00,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.38,0.00,0.00,0.50,4.96,5.87,2.30,4.12,4.33,1.81,11,4,1,0.0
0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.69,0.00,0.00,0.25,2.48,5.87,1.15,3.06,2.02,1.35,12,3,0,0.0
0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.34,0.00,0.00,0.12,1.24,5.87,3.57,2.53,2.11,3.47,11,16,1,0.0
0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.09,0.00,0.00,0.03,0.31,5.87,1.39,3.13,1.61,1.02,13,4,0,0.0
0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.00,0.00,0.02,0.16,5.87,0.70,1.57,1.56,0.79,14,15,1,0.0
0.00,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02,0.00,1.02,0.00,0.00,0.01,2.78,5.3,1.35,3.78,3.74,2.13,16,6,0,2.7
0.00,0.00,0.00,2.26,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.25,0.00,2.26,0.00,0.00,0.00,2.09,4.69,2.34,2.45,2.54,2.71,15,5,1,-2.1
0.00,0.00,0.00,3.13,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.13,0.00,1.13,0.00,0.00,1.00,12.05,6.98,2.17,1.22,0.78,1.73,10,16,0,11.0
0.00,0.00,0.00,2.56,1.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.56,0.00,0.56,0.00,0.00,1.50,21.02,8.26,1.08,0.61,2.03,0.63,10,6,1,15.0
0.00,0.00,0.00,4.57,0.12,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.32,0.00,2.57,0.00,0.00,1.69,21.63,8.67,2.14,0.33,0.46,4.70,10,17,0,13.7
0.00,0.00,0.00,4.29,0.06,0.00,0.00,0.00,0.02,0.00,0.00,0.00,2.16,0.00,1.29,0.00,0.00,0.84,12.81,7.02,3.07,2.16,2.79,2.93,9,3,1,2.0
0.00,0.00,0.00,4.14,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,2.08,0.00,2.64,0.00,0.00,0.42,9.81,7.23,1.53,2.08,1.55,0.99,12,13,0,3.4
0.00,0.00,0.00,3.07,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,1.32,0.00,0.00,0.21,5.90,6.9,2.77,2.04,1.84,3.91,9,16,1,1.0
0.00,0.00,0.00,1.54,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.66,0.00,0.00,0.11,2.95,6.9,1.38,1.02,1.36,0.97,11,19,1,0.0
0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.33,0.00,0.00,0.05,-0.52,6.31,0.69,1.51,1.38,1.37,12,15,0,-2.0
0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00,4.17,0.00,0.00,0.03,-3.46,5.95,1.35,1.76,1.39,1.21,13,1,0,-3.2
0.00,0.00,0.00,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,3.08,0.00,0.00,1.01,8.97,8.37,0.67,0.88,1.11,1.05,13,9,1,10.7
0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,3.54,0.00,0.00,0.51,-4.12,5.07,0.34,4.44,5.25,0.89,13,10,0,-8.6
0.00,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,2.77,0.00,0.00,1.25,5.64,7.63,0.17,2.22,1.50,1.29,15,6,0,7.7
0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,0.00,2.19,0.00,0.00,0.31,5.46,6.8,0.54,2.05,1.26,2.04,16,17,0,0.7
0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,0.00,1.10,0.00,0.00,0.16,1.73,6.48,1.27,3.03,4.32,1.99,18,8,1,-1.0
0.00,0.00,0.00,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.55,0.00,0.00,0.08,-1.13,6.26,1.64,2.51,1.77,3.05,19,20,1,-2.0
0.00,1.00,0.00,0.81,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,2.63,0.00,0.64,0.00,0.00,0.02,-4.68,5.74,2.41,2.63,1.53,3.19,16,9,1,-4.0
0.00,0.50,0.00,2.40,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,5.31,0.00,1.32,0.00,0.00,0.01,-4.64,5.87,1.20,5.31,5.66,0.80,18,1,0,-2.3
0.00,1.25,0.00,3.20,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,2.66,0.00,0.66,0.00,0.00,1.00,6.68,7.72,1.60,2.66,1.44,1.54,15,11,1,9.0
0.00,0.62,0.00,2.60,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,2.33,0.00,0.33,0.00,0.00,0.50,4.34,6.49,0.80,2.33,1.01,1.73,18,12,0,1.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0,1.00,1.00,2.00,1.50,8,10,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0,1.50,1.50,2.50,2.25,10,8,1,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0,1.75,2.75,3.12,2.12,13,7,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0,1.88,4.38,3.25,2.12,16,14,1,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0,2.94,3.19,2.09,4.97,13,16,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0,2.47,3.59,3.91,1.03,13,1,1,0.0
