A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.13,0.00,0.00,0.00,4.43,0.36,0.98,3.61,0.00,0.00,0.00,0.00,0.26,6.75,0.00,4.00,1.36,11.82,8.89,6.73,6.92,5.79,3.87,10,5,0,1.1
0.00,0.89,0.00,0.00,0.00,3.64,0.23,0.63,3.11,0.00,0.00,0.00,0.00,0.17,6.12,0.00,5.16,1.87,14.85,9.37,6.71,5.23,5.38,4.84,12,2,0,3.6
0.00,0.71,0.00,0.00,0.00,2.91,0.18,0.50,3.49,0.00,0.00,0.00,0.00,0.13,5.89,0.00,6.13,1.50,15.48,9.0,6.37,7.18,3.65,6.23,10,20,1,1.2
0.00,0.36,0.00,0.00,0.00,2.77,0.09,0.26,2.43,0.00,0.00,0.00,0.00,0.07,3.02,0.00,3.78,0.77,8.69,9.81,7.78,7.56,8.11,5.25,8,15,1,6.7
0.00,0.23,0.00,0.00,0.00,2.77,0.06,0.17,2.55,0.00,0.00,0.00,0.00,0.04,1.93,0.00,3.22,1.29,10.92,10.18,9.38,6.84,4.81,4.15,9,4,1,8.7
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83,4.91,5.58,6.09,11.40,14,13,0,4.4
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,4.40,1.68,4.93,4.46,5.25,4.25,8,13,1,-2.0
0.00,0.64,0.00,0.00,0.00,6.84,0.00,0.00,1.64,0.00,0.00,0.00,0.00,0.00,1.64,0.00,1.64,0.64,1.62,2.67,6.55,4.65,6.16,4.17,12,3,1,3.0
0.00,0.51,0.00,0.00,0.00,8.47,0.00,0.00,1.31,0.00,0.00,0.00,0.00,0.00,3.31,0.00,4.31,0.51,4.29,1.85,5.24,4.72,4.80,7.21,11,20,0,-1.4
0.00,1.09,0.00,0.00,0.00,5.85,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,3.54,0.00,2.74,0.17,-0.19,0.89,4.78,6.26,6.99,3.89,15,2,0,-3.0
0.00,1.50,0.00,0.00,0.00,6.94,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,2.27,0.00,1.76,0.11,-2.52,1.32,5.06,5.61,5.86,4.52,13,8,0,0.4
0.00,1.20,0.00,0.00,0.00,6.55,1.00,0.00,2.76,0.00,0.00,0.00,0.00,0.00,3.81,0.00,1.41,0.09,-1.62,1.2,5.05,6.49,4.79,4.42,10,13,0,-0.3
0.00,0.08,0.00,0.00,0.00,0.62,0.15,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.10,0.01,-0.14,1.68,8.09,7.74,7.95,5.45,10,9,0,3.2
0.00,0.07,0.00,0.00,0.00,3.50,0.12,0.00,1.15,0.00,0.00,0.00,0.00,0.00,3.28,0.00,3.08,0.00,3.09,1.87,8.47,8.20,5.27,3.88,11,8,0,3.8
0.00,0.03,0.00,0.00,0.00,3.07,0.06,0.00,0.59,0.00,0.00,0.00,0.00,0.00,2.32,0.00,3.50,0.00,4.01,2.59,9.38,6.84,4.81,4.15,9,4,1,7.3
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.48,2.28,6.44,3.56,1.44,19,4,0,-0.4
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,-0.32,4.08,2.46,5.92,2.33,3.47,20,10,1,-0.2
0.00,0.41,0.00,0.00,0.00,0.82,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.82,0.00,-0.19,4.65,6.76,3.76,5.31,5.94,14,12,0,4.4
0.00,0.33,0.00,0.00,0.00,1.66,0.00,0.00,2.21,0.00,0.00,0.00,0.00,0.00,5.28,0.00,3.66,0.00,4.25,3.37,5.41,4.01,6.90,11.10,14,15,0,-2.8
0.00,1.01,0.00,0.00,0.00,1.86,0.00,0.00,1.41,0.00,0.00,0.00,0.00,0.00,4.18,0.00,2.34,0.00,0.48,3.48,4.26,5.36,8.24,0.82,15,1,0,-0.9
0.00,0.52,0.00,0.00,0.00,1.95,1.00,0.00,2.32,0.00,0.00,0.00,0.00,0.00,8.86,0.00,1.20,0.80,3.53,4.6,3.46,6.03,6.12,5.24,14,8,0,5.0
0.00,0.33,0.00,0.00,0.00,1.25,0.64,0.00,1.49,0.00,0.00,0.00,0.00,0.00,5.67,0.00,0.77,1.31,6.26,4.25,8.02,3.86,9.21,4.98,8,4,0,2.2
0.00,1.01,0.00,0.00,0.00,1.60,0.41,0.00,0.95,0.00,0.00,0.00,0.00,0.00,4.43,0.00,0.49,1.64,5.77,4.94,9.93,3.47,6.07,3.49,7,2,0,6.1
0.00,1.05,0.00,0.00,0.00,3.54,0.97,0.00,1.99,0.80,0.00,0.00,0.00,0.00,4.92,0.00,2.63,1.18,9.80,4.3,7.87,4.50,4.38,3.66,8,2,0,0.8
0.00,0.18,0.00,0.00,0.00,1.80,0.16,0.00,1.54,0.13,0.00,0.00,0.00,0.00,3.45,0.00,1.65,0.20,2.91,4.57,5.20,5.63,5.80,6.30,13,1,1,3.1
0.00,0.14,0.00,0.00,0.00,1.44,0.13,0.00,1.23,0.11,0.00,0.00,0.00,0.00,3.76,0.00,3.32,0.16,5.43,4.8,4.16,5.50,6.69,5.57,12,6,0,4.4
0.00,0.11,0.00,0.00,0.00,1.15,0.10,0.00,0.99,0.09,0.00,0.00,0.00,0.00,5.01,0.00,2.66,1.13,8.74,3.9,4.33,4.40,3.17,6.30,13,17,0,-1.3
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,19,1,0,-3.7
