A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.66,0.00,0.00,0.00,0.66,0.66,0.00,2.64,0.00,0.00,0.00,0.00,0.00,3.30,0.00,1.32,0.00,1.45,5.52,20.00,5.00,5.00,20.00,2,14,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,15.00,0.00,0.00,15.00,1,13,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,15.00,0.00,0.00,15.00,1,3,1,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,15.00,0.00,0.00,15.00,1,20,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,5.00,0.00,0.00,5.00,1,20,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,15.00,5.00,5.00,15.00,1,11,1,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,10.00,0.00,0.00,10.00,1,16,1,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,10.00,10.00,10.00,10.00,1,10,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.23,4.66,5.00,0.00,0.00,5.00,1,17,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.19,4.65,15.00,5.00,5.00,15.00,1,9,1,0.0
0.00,0.00,0.00,0.00,0.00,1.92,0.96,0.96,6.18,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,2.47,0.0,20.00,5.00,5.00,20.00,1,16,1,1.2
0.00,0.00,0.00,0.00,0.00,1.58,2.21,0.79,10.77,0.00,0.00,0.00,0.00,0.00,5.75,0.00,0.00,0.00,6.15,0.0,15.00,5.00,5.00,15.00,1,3,0,2.9
0.00,0.00,0.00,0.00,0.00,1.42,1.42,0.00,2.84,0.00,0.00,0.00,0.00,0.00,1.42,0.00,0.00,0.00,1.70,19.46,0.00,0.00,0.00,0.00,12,7,1,1.2
0.00,0.00,0.00,0.00,0.00,3.80,0.96,2.59,9.94,0.00,0.00,0.00,0.00,1.17,11.07,0.00,5.18,0.00,10.74,18.84,5.00,5.00,5.00,5.00,15,17,0,4.2
1.42,0.00,0.00,0.00,0.00,4.55,0.79,3.55,12.44,0.00,0.00,0.00,0.00,0.96,14.78,0.00,5.68,0.00,19.06,19.3,10.00,0.00,0.00,10.00,11,9,1,7.2
1.17,0.00,0.00,0.00,0.00,5.17,0.66,4.34,15.93,0.00,1.42,0.00,0.00,0.79,26.37,0.00,6.09,0.00,28.34,19.87,10.00,10.00,10.00,10.00,11,10,0,8.9
2.38,0.00,0.00,0.00,0.00,6.55,0.00,5.00,14.88,0.00,4.01,0.00,0.00,2.08,24.05,0.00,5.03,0.00,51.94,22.83,25.00,5.00,5.00,25.00,8,10,1,20.6
1.96,0.00,0.00,0.00,0.00,6.83,0.00,3.58,12.61,0.00,3.30,0.00,0.00,1.17,25.60,0.00,3.07,0.00,38.55,19.23,5.00,0.00,0.00,5.00,3,17,0,-1.8
1.62,0.00,0.00,0.00,0.00,8.80,2.84,5.25,11.07,0.00,4.13,0.00,0.00,2.38,26.58,0.00,5.71,0.00,49.33,22.11,10.00,0.00,0.00,10.00,3,17,1,14.0
0.66,0.00,0.00,0.00,0.00,7.58,4.51,4.00,19.57,0.00,2.28,0.00,0.00,3.04,24.56,0.00,8.31,0.00,40.08,21.16,0.00,5.00,5.00,0.00,4,2,1,6.4
0.00,1.42,0.00,0.00,0.00,3.83,0.66,3.83,16.67,0.00,0.00,0.00,0.00,1.45,15.58,0.96,5.48,0.00,7.48,18.81,5.00,5.00,5.00,5.00,5,1,0,-2.2
0.00,2.59,0.00,0.00,0.00,4.04,1.42,2.62,14.79,0.00,0.00,0.00,0.00,0.66,11.36,0.79,5.74,0.00,6.70,19.83,10.00,15.00,15.00,10.00,5,3,0,2.8
0.00,3.55,0.00,0.00,0.00,4.21,2.59,3.04,15.53,0.00,0.00,0.00,0.00,1.42,14.30,0.66,7.92,0.00,9.43,19.85,0.00,10.00,10.00,0.00,5,18,1,4.8
0.00,1.45,0.00,0.00,0.00,5.21,1.45,0.79,8.77,0.00,1.42,0.00,0.00,1.96,17.55,0.00,6.28,0.00,16.67,20.17,10.00,0.00,0.00,10.00,5,8,1,8.1
0.00,0.00,0.00,0.00,0.00,7.34,1.92,0.00,9.42,0.00,0.66,0.00,0.00,0.96,13.68,0.00,0.66,0.00,4.78,18.53,0.00,5.00,5.00,0.00,7,15,0,-0.4
0.00,0.00,0.00,0.00,0.00,4.56,2.74,0.00,14.04,0.00,1.42,0.00,0.00,0.66,9.02,0.00,0.00,0.00,15.80,20.25,5.00,0.00,0.00,5.00,7,16,0,11.4
0.00,1.42,0.00,0.00,0.00,5.84,4.01,0.00,12.23,0.00,4.01,0.00,0.00,0.00,13.23,0.00,2.84,0.00,37.30,21.34,20.00,5.00,5.00,20.00,6,13,1,17.1
0.00,0.96,0.00,0.00,0.00,8.06,2.71,4.01,12.09,0.00,2.71,0.00,0.00,1.42,13.69,0.00,6.18,0.00,32.98,19.36,0.00,0.00,0.00,0.00,7,8,1,5.9
0.00,0.00,0.00,0.00,0.00,1.32,0.00,2.74,7.66,0.00,0.00,0.00,0.00,0.66,7.00,0.00,3.40,0.00,8.44,18.75,0.00,5.00,5.00,0.00,7,14,0,3.2
0.00,0.00,0.00,0.00,0.00,2.84,0.00,1.17,6.10,0.00,1.42,0.00,0.00,0.00,7.52,0.00,2.59,0.00,15.96,19.63,15.00,0.00,0.00,15.00,6,1,1,8.6
