A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.27,0.00,0.00,0.00,3.24,1.06,1.35,1.17,0.26,0.09,0.00,0.00,4.82,3.97,0.00,0.25,0.00,-1.15,11.35,0.85,0.68,3.20,2.59,15,1,0,-1.7
0.00,0.28,0.00,0.00,0.00,0.66,0.13,1.67,1.65,0.03,0.01,0.00,0.00,1.10,5.00,0.00,3.03,0.00,4.53,13.73,1.61,3.59,1.00,4.73,16,13,1,10.1
0.00,0.14,0.00,0.00,0.00,2.33,3.07,1.83,3.82,0.02,1.01,0.00,0.00,0.55,9.50,0.00,1.52,0.00,12.37,11.8,1.80,2.79,3.46,1.15,18,2,0,-0.6
0.00,0.01,0.25,0.00,0.00,1.02,0.44,0.11,0.86,0.00,0.06,0.00,0.00,0.28,0.84,0.00,0.34,0.00,-0.13,10.95,2.49,2.80,2.42,4.23,17,9,0,-2.0
0.00,0.00,0.12,0.00,0.00,4.51,0.22,0.06,1.43,0.00,0.03,0.00,0.00,1.14,0.42,0.00,0.17,0.00,-2.06,13.29,1.24,3.40,3.59,3.52,18,16,1,10.1
0.00,0.00,0.06,0.00,0.00,4.26,5.11,1.03,1.72,1.00,0.02,0.00,0.00,0.57,1.21,0.00,1.09,0.00,9.07,12.75,1.62,3.70,2.79,2.34,18,5,0,5.9
0.00,0.00,0.03,0.00,0.00,5.13,2.56,1.51,0.86,0.50,1.01,0.00,0.00,2.29,1.61,0.00,0.54,0.00,10.43,11.43,1.81,1.85,1.16,0.95,17,9,1,-1.3
0.00,0.75,0.00,0.00,0.00,4.60,0.52,3.03,2.29,0.00,0.01,0.00,0.00,3.55,2.01,0.00,1.00,0.00,-0.61,10.46,0.94,2.23,2.02,1.60,18,13,0,-1.4
0.00,0.65,0.00,0.00,0.00,7.14,3.52,1.09,3.63,0.00,0.00,0.00,0.00,2.24,2.25,0.00,0.03,0.00,-0.51,11.83,0.15,2.07,1.50,5.18,18,7,1,6.6
0.00,0.32,0.00,0.00,0.00,6.57,1.76,2.55,4.82,0.00,1.00,0.00,0.00,6.12,2.13,0.00,0.02,0.00,6.35,11.66,1.08,2.03,4.04,4.78,18,16,0,6.7
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.9,2.75,3.25,1.00,2.50,17,13,0,-0.3
0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-0.30,4.68,1.38,1.62,1.00,1.50,15,17,1,0.0
0.00,0.00,0.00,0.00,0.00,2.53,0.75,1.00,1.81,0.25,0.50,0.00,0.00,1.03,1.53,0.00,0.75,0.00,6.27,5.27,3.11,3.05,2.04,7.00,14,13,0,-1.8
0.00,1.00,0.00,0.00,0.00,4.27,0.38,0.50,7.91,0.12,0.25,0.00,0.00,3.52,1.77,0.00,0.38,0.00,1.33,5.54,2.55,1.53,2.89,1.44,8,13,1,0.5
0.00,0.50,0.00,0.00,0.00,2.13,0.19,0.25,5.95,0.06,0.12,0.00,0.00,2.76,0.88,0.00,0.19,0.00,1.17,4.29,4.28,1.76,1.20,2.46,9,11,0,-5.3
0.00,0.25,0.00,0.00,0.00,3.07,0.09,0.12,2.98,0.03,0.06,0.00,0.00,2.38,1.44,1.00,0.09,0.00,-4.72,5.04,3.14,1.88,3.82,2.76,12,3,1,0.2
0.00,0.06,0.00,0.00,0.00,1.27,0.02,0.53,0.74,0.01,0.02,0.00,0.00,0.59,0.36,0.25,0.02,0.00,-1.08,4.8,2.78,1.97,2.79,1.47,11,12,1,0.0
0.00,0.03,0.00,0.00,0.00,1.63,0.01,0.27,1.37,0.00,0.01,0.00,0.00,0.30,0.18,0.12,0.01,0.00,-0.54,4.46,1.39,2.99,1.19,1.56,13,8,1,-1.7
0.00,0.02,0.00,0.00,0.00,3.82,1.01,0.13,0.69,0.00,0.00,0.00,0.00,0.15,4.09,0.06,0.01,0.00,-1.97,5.86,1.70,3.49,1.82,4.92,10,17,0,6.6
0.00,0.01,0.00,0.00,0.00,7.91,1.50,1.07,2.34,0.00,1.00,0.00,0.00,1.07,4.05,0.03,0.00,0.00,5.62,4.65,2.85,1.75,1.98,1.25,11,1,1,-1.4
0.00,0.00,0.00,0.00,0.00,3.24,1.44,0.63,2.29,0.00,1.13,0.00,0.00,0.88,4.01,0.00,1.00,0.00,10.45,4.49,2.36,1.72,2.08,1.13,13,8,0,-2.6
0.00,0.00,0.00,0.00,0.00,0.60,0.17,0.02,0.20,0.00,0.04,0.00,0.00,0.40,0.50,0.00,0.16,0.00,0.18,4.7,2.14,4.05,1.93,2.04,9,8,0,-0.6
0.00,0.00,0.00,0.00,0.00,0.27,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.27,0.00,0.00,0.00,-0.19,5.24,4.57,2.88,3.03,2.13,10,6,1,4.2
0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,1.03,5.3,4.07,3.86,3.67,1.67,10,9,0,4.5
