atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
63422,São Paulo,0.0,0.0,mei,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,3,0.0,5,0.0
63354,Internacional,0.0,0.0,zag,0.0,1,0.0,0.0,0.0,7,2,2,6,0.0,1,0.0,0.0,0.0,9,0.0,19,4
68698,Internacional,0.0,0.0,mei,0.0,4,0.0,0.0,0.0,22,4,4,15,0.0,0.0,0.0,0.0,1,23,0.0,27,0.0
68821,Grêmio,0.0,0.0,lat,3,0.0,1,0.0,0.0,12,4,2,6,0.0,2,0.0,0.0,1,26,0.0,13,6
68770,Atlético-PR,0.0,0.0,mei,0.0,1,0.0,0.0,0.0,9,1,1,3,0.0,0.0,0.0,0.0,0.0,11,0.0,14,0.0
68834,Internacional,0.0,0.0,mei,1,0.0,0.0,0.0,0.0,14,1,2,6,0.0,0.0,0.0,0.0,0.0,13,0.0,17,0.0
68696,Ceará,0.0,0.0,ata,1,3,0.0,0.0,0.0,22,17,14,28,0.0,3,0.0,0.0,12,19,1,10,0.0
68727,Cruzeiro,0.0,0.0,lat,0.0,2,0.0,0.0,0.0,24,5,2,6,1,0.0,0.0,0.0,1,37,0.0,25,8
68872,Internacional,0.0,0.0,gol,0.0,1,1,42,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,27,0.0,3,0.0,0.0,10
68808,Bahia,0.0,0.0,lat,4,4,0.0,0.0,0.0,32,8,7,35,1,2,0.0,0.0,0.0,59,0.0,39,10
68873,Grêmio,0.0,0.0,gol,0.0,1,0.0,33,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,18,0.0,11,0.0,0.0,10
68773,Chapecoense,0.0,0.0,ata,0.0,3,0.0,0.0,0.0,11,6,9,9,0.0,3,0.0,0.0,1,14,0.0,11,0.0
62129,Atlético-PR,0.0,0.0,mei,1,10,0.0,0.0,0.0,46,4,3,14,0.0,0.0,0.0,0.0,0.0,52,0.0,14,0.0
